,count,date
1454,4774,2020-02-01
1455,3925,2020-02-02
1456,4975,2020-02-03
1457,4747,2020-02-04
1458,4725,2020-02-05
1459,4396,2020-02-06
1460,4074,2020-02-07
1461,4947,2020-02-08
1462,5075,2020-02-09
1463,4512,2020-02-10
1464,4118,2020-02-11
1465,4801,2020-02-12
1466,4518,2020-02-13
1467,4259,2020-02-14
1468,4354,2020-02-15
1469,4765,2020-02-16
1470,4786,2020-02-17
1471,4620,2020-02-18
1472,4609,2020-02-19
1473,3709,2020-02-20
1474,4530,2020-02-21
1475,5175,2020-02-22
1476,4997,2020-02-23
1477,4823,2020-02-24
1478,4907,2020-02-25
1479,4519,2020-02-26
1480,4512,2020-02-27
1481,4282,2020-02-28
1482,3889,2020-02-29
